time_s,explicit_euler,semi_implicit_euler,leapfrog,rk4
10.9167,0.095972,0.0290319,0.0146741,0.000604595
10.9333,0.0959965,0.0290324,0.0146744,0.000604426
10.95,0.0960206,0.0290331,0.0146746,0.000604341
10.9667,0.0960465,0.0290327,0.0146736,0.000604257
10.9833,0.0960721,0.0290325,0.0146729,0.000603665
11,0.0960988,0.0290325,0.0146746,0.000604764
11.0167,0.0961228,0.0290315,0.0146747,0.000604341
11.0333,0.0961484,0.0290325,0.0146754,0.000605778
11.05,0.0961737,0.029032,0.0146768,0.000606454
11.0667,0.0961987,0.0290317,0.0146763,0.000606877
11.0833,0.0962247,0.0290314,0.0146755,0.000606032
11.1,0.0962493,0.0290315,0.0146753,0.000606116
11.1167,0.0962754,0.029033,0.0146757,0.000606454
11.1333,0.0963004,0.0290327,0.0146762,0.000607046
11.15,0.0963267,0.0290326,0.0146759,0.00060713
11.1667,0.0963512,0.0290329,0.0146743,0.000605778
11.1833,0.0963765,0.0290338,0.0146759,0.000606792
11.2,0.0964018,0.0290343,0.0146758,0.000606454
11.2167,0.0964281,0.0290345,0.0146746,0.000605525
11.2333,0.0964537,0.0290352,0.0146759,0.00060637
11.25,0.0964783,0.0290351,0.014675,0.000606116
11.2667,0.0965029,0.0290348,0.0146743,0.000604933
11.2833,0.0965286,0.0290342,0.0146747,0.000604933
11.3,0.096552,0.0290336,0.0146742,0.000604848
11.3167,0.0965785,0.0290337,0.014675,0.000604764
11.3333,0.0966033,0.0290342,0.0146752,0.00060544
11.35,0.0966295,0.0290345,0.0146755,0.000604933
11.3667,0.0966555,0.029036,0.0146764,0.000605863
11.3833,0.0966811,0.0290354,0.014676,0.000606116
11.4,0.0967058,0.0290358,0.0146755,0.000606708
11.4167,0.0967305,0.0290368,0.0146758,0.000606623
11.4333,0.096757,0.0290364,0.0146755,0.000605863
11.45,0.0967818,0.0290365,0.0146752,0.000605947
11.4667,0.0968071,0.029038,0.0146757,0.000605525
11.4833,0.096833,0.029038,0.0146747,0.000604172
11.5,0.0968584,0.0290388,0.0146762,0.000606285
11.5167,0.0968831,0.0290388,0.0146756,0.000605187
11.5333,0.0969088,0.0290395,0.0146747,0.000604595
11.55,0.0969339,0.0290405,0.014674,0.000604341
11.5667,0.0969596,0.0290392,0.0146744,0.000604257
11.5833,0.096985,0.0290397,0.0146758,0.000605102
11.6,0.0970108,0.0290397,0.014675,0.000604848
11.6167,0.0970359,0.0290401,0.0146752,0.000605187
11.6333,0.0970597,0.0290396,0.014676,0.000605525
11.65,0.0970851,0.029039,0.0146747,0.000605187
11.6667,0.0971107,0.0290397,0.0146752,0.000605356
11.6833,0.0971361,0.02904,0.0146753,0.000605187
11.7,0.0971611,0.0290408,0.0146758,0.000605525
11.7167,0.0971855,0.0290413,0.0146755,0.000604426
11.7333,0.097211,0.0290424,0.0146745,0.000604341
11.75,0.0972369,0.0290421,0.0146752,0.000604848
11.7667,0.0972624,0.0290419,0.0146749,0.00060451
11.7833,0.0972887,0.0290426,0.0146754,0.000605102
11.8,0.0973143,0.0290408,0.0146767,0.00060713
11.8167,0.0973378,0.0290409,0.0146766,0.000606623
11.8333,0.0973625,0.0290427,0.0146774,0.000607046
11.85,0.097388,0.0290421,0.0146774,0.000607215
11.8667,0.0974125,0.0290427,0.0146766,0.000608229
11.8833,0.0974367,0.0290429,0.0146764,0.000606285
11.9,0.0974623,0.0290432,0.0146751,0.000605694
11.9167,0.0974884,0.0290433,0.0146751,0.000605356
11.9333,0.0975132,0.029043,0.0146755,0.000605609
11.95,0.0975381,0.0290443,0.0146754,0.000606116
11.9667,0.097562,0.0290439,0.0146763,0.000606877
11.9833,0.0975871,0.0290437,0.0146766,0.000607046
12,0.097613,0.029043,0.0146752,0.000604764
12.0167,0.0976389,0.0290441,0.0146738,0.000603665
12.0333,0.0976652,0.0290443,0.0146742,0.00060451
12.05,0.0976906,0.0290446,0.0146742,0.000604933
12.0667,0.0977138,0.0290451,0.0146741,0.000604341
12.0833,0.0977393,0.0290472,0.0146744,0.000604595
12.1,0.0977637,0.0290467,0.014675,0.000605102
12.1167,0.0977893,0.0290463,0.0146763,0.000606539
12.1333,0.0978143,0.0290463,0.0146756,0.000606454
12.15,0.0978398,0.0290468,0.0146751,0.000605778
12.1667,0.0978644,0.0290473,0.0146754,0.000605863
12.1833,0.0978905,0.0290473,0.0146752,0.000605609
12.2,0.0979151,0.0290479,0.0146747,0.000605187
12.2167,0.0979395,0.0290485,0.0146746,0.000604341
12.2333,0.0979647,0.0290489,0.0146748,0.000604595
12.25,0.0979895,0.0290499,0.0146752,0.000605017
12.2667,0.0980158,0.02905,0.0146743,0.00060375
12.2833,0.0980411,0.0290507,0.0146734,0.000603919
12.3,0.0980673,0.0290498,0.0146732,0.000603243
12.3167,0.0980931,0.02905,0.0146742,0.000603665
12.3333,0.098118,0.0290517,0.0146747,0.000604088
12.35,0.0981421,0.0290515,0.0146747,0.000604595
12.3667,0.098165,0.029051,0.0146742,0.000604679
12.3833,0.0981899,0.0290504,0.0146752,0.000605017
12.4,0.098216,0.0290512,0.0146756,0.000605187
12.4167,0.09824,0.0290525,0.0146761,0.000606116
12.4333,0.0982657,0.0290529,0.0146754,0.000605525
12.45,0.0982881,0.0290527,0.0146758,0.000605525
12.4667,0.0983134,0.0290533,0.0146763,0.000605778
12.4833,0.0983377,0.0290528,0.0146753,0.000605271
12.5,0.098364,0.0290532,0.0146751,0.000605102
12.5167,0.0983886,0.0290539,0.0146759,0.000604933
12.5333,0.0984138,0.0290547,0.0146759,0.000605694
12.55,0.0984397,0.0290541,0.0146762,0.000605863
12.5667,0.098464,0.0290537,0.0146748,0.000604172
12.5833,0.0984888,0.0290553,0.0146747,0.000604679
12.6,0.0985141,0.0290547,0.0146751,0.000604848
12.6167,0.098539,0.0290549,0.014674,0.000603327
12.6333,0.0985636,0.0290553,0.0146749,0.000604172
12.65,0.0985883,0.0290549,0.014675,0.000604764
12.6667,0.0986124,0.0290554,0.0146755,0.000605187
12.6833,0.0986362,0.0290558,0.0146762,0.000605017
12.7,0.0986626,0.0290565,0.014675,0.000603834
12.7167,0.0986882,0.0290563,0.0146751,0.000605102
12.7333,0.0987124,0.0290573,0.0146756,0.000605863
12.75,0.0987372,0.0290582,0.0146744,0.000604764
12.7667,0.0987614,0.0290577,0.0146752,0.000604341
12.7833,0.0987881,0.0290582,0.0146756,0.000605271
12.8,0.0988124,0.0290578,0.0146757,0.000605356
12.8167,0.0988366,0.0290588,0.0146763,0.000606116
